region_name,region_code,Standard Infrequent Access Storage per GB-Mo,Data Returned by S3 Select in Standard Infrequent Access per GB,Data Scanned by S3 Select in Standard Infrequent Access per GB,Object Retrieval in Standard Infrequent Access per GB,GET and all other requests to Standard Infrequent Access per Requests,Lifecycle Transition Requests into Standard Infrequent Access per Requests,PUT COPY/POST or LIST requests to Standard Infrequent Access per Requests
US West (Oregon),us-west-2,0.0125000000,0.0100000000,0.0020000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
US West (N. California),us-west-1,0.0144000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
US East (Ohio),us-east-2,0.0125000000,0.0100000000,0.0020000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
US East (N. Virginia),us-east-1,0.0125000000,0.0100000000,0.0020000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
South America (Sao Paulo),sa-east-1,0.0221000000,0.0100000000,0.0040000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Middle East (UAE),me-central-1,0.0138000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Middle East (Bahrain),me-south-1,0.0138000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Israel (Tel Aviv),il-central-1,0.0138000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
EU (Zurich),eu-central-2,0.0148500000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
EU (Stockholm),eu-north-1,0.0125000000,0.0100000000,0.0020000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
EU (Spain),eu-south-2,0.0125000000,0.0100000000,0.0020000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
EU (Paris),eu-west-3,0.0131000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
EU (Milan),eu-south-1,0.0131000000,0.0100000000,0.0020000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
EU (London),eu-west-2,0.0131000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
EU (Ireland),eu-west-1,0.0125000000,0.0100000000,0.0020000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
EU (Frankfurt),eu-central-1,0.0135000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Canada West (Calgary),ca-west-1,0.0138000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Canada (Central),ca-central-1,0.0138000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Asia Pacific (Tokyo),ap-northeast-1,0.0138000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Asia Pacific (Sydney),ap-southeast-2,0.0138000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Asia Pacific (Singapore),ap-southeast-1,0.0138000000,0.0100000000,0.0025000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Asia Pacific (Seoul),ap-northeast-2,0.0138000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Asia Pacific (Osaka),ap-northeast-3,0.0138000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Asia Pacific (Mumbai),ap-south-1,0.0138000000,0.0100000000,0.0025000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Asia Pacific (Melbourne),ap-southeast-4,0.0138000000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Asia Pacific (Malaysia),ap-southeast-5,0.0124200000,0.0100000000,0.0022500000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Asia Pacific (Jakarta),ap-southeast-3,0.0138000000,0.0100000000,0.0025000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Asia Pacific (Hyderabad),ap-south-2,0.0138000000,0.0100000000,0.0025000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Asia Pacific (Hong Kong),ap-east-1,0.0138000000,0.0100000000,0.0025000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
Africa (Cape Town),af-south-1,0.0149000000,0.0100000000,0.0020000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
AWS GovCloud (US-East),us-gov-east-1,0.0200000000,0.0100000000,0.0030000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
AWS GovCloud (US),us-gov-west-1,0.0200000000,0.0100000000,0.0030000000,0.0100000000,0.0000010000,0.0000100000,0.0000100000
