region_name,region_code,Standard Storage First 50 TB per GB Mo,Standard Storage Next 450 TB per GB Mo,Standard Storage Over 500 TB per GB Mo,Data Returned by S3 Select in Standard per GB,Data Scanned by S3 Select in Standard per GB,GET and all other requests per Requests,PUT COPY/POST or LIST requests per Requests
US West (Oregon),us-west-2,0.0230000000,0.0220000000,0.0210000000,0.0007000000,0.0020000000,0.0000004000,0.0000050000
US West (N. California),us-west-1,0.0260000000,0.0250000000,0.0240000000,0.0008000000,0.0022500000,0.0000004400,0.0000055000
US East (Ohio),us-east-2,0.0230000000,0.0220000000,0.0210000000,0.0007000000,0.0020000000,0.0000004000,0.0000050000
US East (N. Virginia),us-east-1,0.0230000000,0.0220000000,0.0210000000,0.0007000000,0.0020000000,0.0000004000,0.0000050000
South America (Sao Paulo),sa-east-1,0.0405000000,0.0390000000,0.0370000000,0.0014000000,0.0040000000,0.0000005600,0.0000070000
Middle East (UAE),me-central-1,0.0250000000,0.0240000000,0.0230000000,0.0008000000,0.0022500000,0.0000004400,0.0000055000
Middle East (Bahrain),me-south-1,0.0250000000,0.0240000000,0.0230000000,0.0008000000,0.0022500000,0.0000004400,0.0000055000
Israel (Tel Aviv),il-central-1,0.0250000000,0.0240000000,0.0230000000,0.0008000000,0.0022500000,0.0000004400,0.0000055000
EU (Zurich),eu-central-2,0.0269500000,0.0258500000,0.0247500000,0.0008000000,0.0022500000,0.0000004300,0.0000054000
EU (Stockholm),eu-north-1,0.0230000000,0.0220000000,0.0210000000,0.0007000000,0.0020000000,0.0000004000,0.0000050000
EU (Spain),eu-south-2,0.0230000000,0.0220000000,0.0210000000,0.0007000000,0.0020000000,0.0000004000,0.0000053000
EU (Paris),eu-west-3,0.0240000000,0.0230000000,0.0220000000,0.0008000000,0.0022500000,0.0000004200,0.0000053000
EU (Milan),eu-south-1,0.0240000000,0.0230000000,0.0220000000,0.0007000000,0.0020000000,0.0000004000,0.0000053000
EU (London),eu-west-2,0.0240000000,0.0230000000,0.0220000000,0.0008000000,0.0022500000,0.0000004200,0.0000053000
EU (Ireland),eu-west-1,0.0230000000,0.0220000000,0.0210000000,0.0007000000,0.0020000000,0.0000004000,0.0000050000
EU (Frankfurt),eu-central-1,0.0245000000,0.0235000000,0.0225000000,0.0008000000,0.0022500000,0.0000004300,0.0000054000
Canada West (Calgary),ca-west-1,0.0250000000,0.0240000000,0.0230000000,0.0008000000,0.0022500000,0.0000004400,0.0000055000
Canada (Central),ca-central-1,0.0250000000,0.0240000000,0.0230000000,0.0008000000,0.0022500000,0.0000004400,0.0000055000
Asia Pacific (Tokyo),ap-northeast-1,0.0250000000,0.0240000000,0.0230000000,0.0008000000,0.0022500000,0.0000003700,0.0000047000
Asia Pacific (Sydney),ap-southeast-2,0.0250000000,0.0240000000,0.0230000000,0.0008000000,0.0022500000,0.0000004400,0.0000055000
Asia Pacific (Singapore),ap-southeast-1,0.0250000000,0.0240000000,0.0230000000,0.0009000000,0.0025000000,0.0000004000,0.0000050000
Asia Pacific (Seoul),ap-northeast-2,0.0250000000,0.0240000000,0.0230000000,0.0008000000,0.0022500000,0.0000003500,0.0000045000
Asia Pacific (Osaka),ap-northeast-3,0.0250000000,0.0240000000,0.0230000000,0.0008000000,0.0022500000,0.0000003700,0.0000047000
Asia Pacific (Mumbai),ap-south-1,0.0250000000,0.0240000000,0.0230000000,0.0009000000,0.0025000000,0.0000004000,0.0000050000
Asia Pacific (Melbourne),ap-southeast-4,0.0250000000,0.0240000000,0.0230000000,0.0008000000,0.0022500000,0.0000004400,0.0000055000
Asia Pacific (Malaysia),ap-southeast-5,0.0225000000,0.0216000000,0.0207000000,0.0008100000,0.0022500000,0.0000003600,0.0000045000
Asia Pacific (Jakarta),ap-southeast-3,0.0250000000,0.0240000000,0.0230000000,0.0009000000,0.0025000000,0.0000004000,0.0000050000
Asia Pacific (Hyderabad),ap-south-2,0.0250000000,0.0240000000,0.0230000000,0.0009000000,0.0025000000,0.0000004000,0.0000050000
Asia Pacific (Hong Kong),ap-east-1,0.0250000000,0.0240000000,0.0230000000,0.0009000000,0.0025000000,0.0000004000,0.0000050000
Africa (Cape Town),af-south-1,0.0274000000,0.0262000000,0.0250000000,0.0007000000,0.0020000000,0.0000004000,0.0000060000
AWS GovCloud (US-East),us-gov-east-1,0.0390000000,0.0370000000,0.0355000000,0.0010000000,0.0030000000,0.0000004000,0.0000050000
AWS GovCloud (US),us-gov-west-1,0.0390000000,0.0370000000,0.0355000000,0.0010000000,0.0030000000,0.0000004000,0.0000050000
